"Question","Answer"
"How would you swap two numbers without using a temporary variable?","Use arithmetic operations or bit manipulation to swap values without a temp variable."
"How would you reverse a string in JavaScript?","Loop through the string from the end to the beginning, concatenating characters."
"How would you reverse words in a sentence?","Split the string into words, reverse the order of the array, and join it back into a string."
"If you have a string like 'I am the good boy'. How can you generate 'I ma eht doog yob'?","Split the string into words, reverse the order of words, and reverse each word."
"How could you find the first non-repeating char in a string?","Count occurrences of each character and return the first one with a count of 1."
"How will you remove duplicate characters from a string?","Use an object to track seen characters and build a new string with unique characters."
"How could you find missing number from an unsorted array of integers?","Calculate the expected sum of numbers and subtract the actual sum to find the missing number."
"Check whether any two numbers in an array sums to a given number?","Use a hash table to track numbers and check if the complement exists."
"Find the largest sum of any two elements?","Sort the array and return the sum of the last two elements."
"Total number of zeros from 1 up to n?","Count the number of zeros in each number from 1 to n."
"Match substring of a string?","Use the indexOf method to find the position of the substring."
"Create all permutations of a string?","Use recursion to generate permutations by swapping characters."
"What is JavaScript?","JavaScript is a powerful client-side scripting language used to enhance user interaction with webpages."
"Enumerate the differences between Java and JavaScript?","Java is a complete programming language, while JavaScript is a client-side scripting language designed for HTML pages."
"What are JavaScript Data Types?","Number, String, Boolean, Object, Undefined."
"What is the use of isNaN function?","isNaN function returns true if the argument is not a number; otherwise, it returns false."
"Which is faster between JavaScript and an ASP script?","JavaScript is faster because it is client-side, requiring no web server assistance."
"What is negative Infinity?","Negative Infinity is derived by dividing a negative number by zero."
"Is it possible to break JavaScript Code into several lines?","Yes, by using a backslash at the end of the line."
"Which company developed JavaScript?","Netscape developed JavaScript."
"What are undeclared and undefined variables?","Undeclared variables do not exist in the program, while undefined variables are declared but not assigned a value."
"Write the code for adding new elements dynamically.","function addNode() { var newP = document.createElement('p'); var textNode = document.createTextNode('This is a new text node'); newP.appendChild(textNode); document.getElementById('firstP').appendChild(newP); }"
"What are global variables? How are these variable declared?","Global variables are available throughout the code. Declared using 'var', if omitted, they become global."
"What is a prompt box?","A prompt box allows users to enter input by providing a text box."
"What is ‘this’ keyword in JavaScript?","‘This’ refers to the object from where it is called."
"What is the working of timers in JavaScript?","Timers execute code at a set time or repeat it at intervals using setTimeout and setInterval."
"What is the difference between ViewState and SessionState?","ViewState is specific to a page; SessionState is user-specific data accessible across all pages."
"What is === operator?","=== is a strict equality operator that checks both value and type."
"How can you submit a form using JavaScript?","Use document.form[0].submit();"
"Does JavaScript support automatic type conversion?","Yes, JavaScript supports automatic type conversion."
"How can the style/class of an element be changed?","Use document.getElementById('myText').style.fontSize = '20'; or document.getElementById('myText').className = 'anyclass';"
"How to read and write a file using JavaScript?","Using JavaScript extensions or ActiveX objects."
"What are all the looping structures in JavaScript?","For, While, Do-while loops."
"What is called Variable typing in Javascript?","Variable typing allows a variable to be assigned a number and then a string."
"How can you convert the string of any base to an integer in JavaScript?","Use parseInt() with the string and base as parameters."
"Difference between '==' and '==='?","'==' checks for value equality, while '===' checks for both value and type equality."
"What would be the result of 3+2+'7'?","The result would be '57' due to string concatenation."
"How to detect the operating system on the client machine?","Use navigator.platform property."
"What do you mean by NULL in Javascript?","NULL represents no value or no object."
"What is the function of the delete operator?","delete removes a property from an object."
"What is an undefined value in JavaScript?","Undefined means a variable does not exist or is not assigned a value."
"What are all the types of Pop up boxes available in JavaScript?","Alert, Confirm, and Prompt."
"What is the use of Void(0)?","Void(0) prevents the page from refreshing."
"How can a page be forced to load another page in JavaScript?","Use location.href to redirect to another page."
"What is the data type of variables in JavaScript?","All variables in JavaScript are of object data types."
"What is the difference between an alert box and a confirmation box?","An alert box has one button (OK), while a confirmation box has two buttons (OK and Cancel)."
"What are escape characters?","Escape characters allow special characters to be displayed in strings."
"What are JavaScript Cookies?","Cookies are small text files stored on a computer to hold user information."
"What is a pop() method in JavaScript?","pop() removes the last element from an array and returns it."
"Does JavaScript have concept-level scope?","No, variables declared inside a function are scoped to that function."
"What are the disadvantages of using innerHTML in JavaScript?","Using innerHTML can lead to performance issues and potential HTML validation problems."
"What is break and continue statements?","Break exits the current loop; continue skips to the next iteration."
"What are the two basic groups of data types in JavaScript?","Primitive and Reference types."
"How can generic objects be created?","Use var obj = new Object();"
"What is the use of a type of operator?","typeof returns a string description of the type of a variable."
"Which keywords are used to handle exceptions?","Try, Catch, Finally."
"Which keyword is used to print the text on the screen?","Use document.write('text');"
"What is the use of the blur function?","Blur removes focus from the specified object."
"What is variable typing?","Variable typing allows assigning different types of values to the same variable."
"How to find an operating system in the client machine using JavaScript?","Use navigator.appVersion to detect the OS."
"What are the different types of errors in JavaScript?","Load time errors, Runtime errors, Logical errors."
"What is the use of the Push method in JavaScript?","Push adds one or more elements to the end of an array."
"What is the unshift method in JavaScript?","Unshift adds one or more elements to the beginning of an array."
"What is the difference between JavaScript and Jscript?","JavaScript was developed by Netscape; Jscript was developed by Microsoft."
"How are object properties assigned?","Use obj['property'] = value or obj.property = value."
"What is the ‘Strict Mode in JavaScript, and how can it be enabled?","Strict Mode imposes stricter parsing and error handling in JavaScript. Enable it using 'use strict';."
"What is the way to get the status of a CheckBox?","Use document.getElementById('checkbox1').checked."
"How can the OS of the client machine be detected?","Use navigator.appVersion to detect the OS."
"What is window.onload and onDocumentReady?","onload waits for all page content to load, while onDocumentReady executes when the DOM is ready."
